Title,Original title,ID,Language,Details,Genre IDs,Popularity,Release date,Review score,Number of reviews
Expiration Date,Casi muerta,791295,es,"María and Javi are two lifelong friends. Even though they have drifted apart over the course of the last year, when María suffers an accident that leaves her at the verge of dying, they reunite and discover that they have always been in love. Now Javi has to decide whether he continues with his new life with an Uruguayan girlfriend, or give a chance to a childhood love that could die out any second.","[35, 10749]",11.122,2023-07-06,7.1,32
Stephen Curry: Underrated,Stephen Curry: Underrated,860278,en,"The remarkable coming-of-age story of Stephen Curry—one of the most influential, dynamic, and unexpected players in basketball history—and his rise from an undersized college player to a four-time NBA champion.",[99],16.375,2023-07-21,7.6,69
STILL: A Michael J. Fox Movie,STILL: A Michael J. Fox Movie,1058699,en,A short kid from a Canadian army base becomes the international pop culture darling of the 1980s—only to find the course of his life altered by a stunning diagnosis. What happens when an incurable optimist confronts an incurable disease?,[99],14.343,2023-01-20,7.6,111
Chor Nikal Ke Bhaga,चोर निकल के भागा,1018228,hi,A flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt — but the plan spins into a mayhem when the plane gets hijacked.,"[80, 53]",7.353,2023-03-24,7.1,101
BDE,BDE,957752,fr,"The story of four lifelong friends who met in the 2000s when they were presidents of the BDE of the Nantes Institute of Business. At the time, they were the ""Bioman"": the kings of partying, excess and ""transmutation"". 20 years later, they have mellowed out and lead well-ordered lives. Except... Once a year, when they get together for the WEB: the Bioman Weekend. There, they ""transmute"" hard as they like to say. In short: they drink and sing in a pathetic way.",[35],8.029,2023-01-20,4.6,98
A Biltmore Christmas,A Biltmore Christmas,1064137,en,"Lucy is hired to write the script for a remake of a holiday movie. She joins a tour of the grounds and when she knocks an hourglass over, she finds herself transported back in time to 1946.","[10770, 14, 10749]",7.133,2023-11-26,8.9,14
OMG 2,ओएमजी २,888710,hi,"Life is bliss until one day Kanti Sharan Mudgal’s son Vivek is blamed for immoral conduct and expelled from school. Overwhelmed, Kanti plans to leave town until a divine intervention leads him to seek justice by taking those responsible to court.","[35, 18]",7.905,2023-08-11,7.1,33
Johnny & Clyde,Johnny & Clyde,857553,en,"Johnny and Clyde are two serial killers who are madly in love and on an endless crime spree. Alana (Megan Fox) is the confident and cunning owner of a prosperous casino that generates tens of millions of dollars each year. Johnny and Clyde decide to assemble a ragtag group of criminals and misfits to steal from Alana's casino and pull off the heist of the century. Unfortunately for Johnny and Clyde's crew, Alana has a deadly weapon at her disposal – the monstrous slasher spirit known as Bakwas.","[28, 53, 80]",7.13,2023-03-23,4.1,17
Making of The Last of Us,Making of The Last of Us,1100287,en,"Featuring extensive interviews with the cast and crew, this all-access documentary gives a rare glimpse into the daunting behind-the-scenes efforts that went into the production of the HBO Original smash hit series The Last of Us.",[99],13.102,2023-03-12,6.6,17
Moscow Mission,93国际列车大劫案：莫斯科行动,783121,zh,Tough Chinese detectives go on a mission to Moscow to hunt down ruthless robbers who have been plaguing the trans-Siberian railway with violence and chaos.,"[28, 80]",11.373,2023-09-29,6.3,22
Sitting in Bars with Cake,Sitting in Bars with Cake,936952,en,"Extrovert Corinne convinces Jane, a shy, talented baker, to commit to a year of bringing cakes to bars, to help her meet people and build confidence. But when Corinne receives a life-altering diagnosis, the pair faces a challenge unlike anything they've experienced before.","[10749, 35, 18]",14.144,2023-09-07,7.3,74
Take Care of Maya,Take Care of Maya,1114901,en,"When Jack and Beata Kowalski are wrongfully accused of child abuse after their 10-year-old daughter Maya visits the ER, a nightmare unfolds.",[99],10.494,2023-06-10,7.7,73
The Resurrection of Charles Manson,The Resurrection of Charles Manson,942251,en,"While a couple creates an audition tape for an up-and-coming Charles Manson film, the dark events of the audition material slowly slip into their reality as they find themselves intertwined in an occult leader's sinister plot.","[27, 53]",14.292,2023-03-16,4.1,24
Padre Pio,Padre Pio,860901,en,"It is the end of World War I and the young Italian soldiers are making their way back to San Giovanni Rotondo, a land of poverty, with a tradition of violence and submission to the iron-clad rule of the church and its wealthy landowners. Families are desperate, the men are broken, albeit victorious. Padre Pio also arrives, at a remote Capuchin monastery, to begin his ministry, evoking an aura of charisma, saintliness and epic visions of Jesus, Mary and the Devil himself. The eve of the first free elections in Italy sets the stage for a massacre with a metaphorical dimension: an apocalyptic event that changes the course of history.",[18],7.389,2023-06-01,5.8,10
Mars Express,Mars Express,586810,fr,"In the near future, private detective Aline Ruby and her android partner are hired by a wealthy businessman to track down a notorious hacker. On Mars, they descend deep into the underbelly of the planet’s capital city where they uncover a darker story of brain farms, corruption, and a missing girl who holds a secret about the robots that threaten to change the face of the universe.","[878, 16, 28, 9648]",10.084,2023-11-22,7.7,85
The Cuckoo's Curse,El cuco,1064801,es,"Two couples, Marc and Anna, from Spain, and Hans and Olga, from Germany, swap their homes for vacation.","[18, 53]",11.218,2023-09-15,5.4,10
Tonight You're Sleeping with Me,Dzisiaj śpisz ze mną,1081313,pl,"Stuck in a passionless marriage, a journalist must choose between her distant but loving husband and a younger ex-boyfriend who has reentered her life","[10749, 18]",11.236,2023-03-01,6.3,81
La Graine,La Graine,998587,fr,"Lucie and Ines love each other and want to have a child, but they are missing something. After five attempts at MAP, they leave for a final test in Belgium. Then begins a crazy quest to find THE seed.",[35],6.974,2023-05-03,5.8,26
Tótem,Tótem,958186,es,"In a bustling Mexican household, seven-year-old Sol is swept up in a whirlwind of preparations for the birthday party for her father. As the day goes on, Sol begins to understand the gravity of the celebration.","[18, 35]",9.975,2023-09-07,7.0,19
Chef Jack: The Adventurous Cook,Chef Jack: O Cozinheiro Aventureiro,1061617,pt,"Chef Jack and his assistant Leonard will travel through the Culinary Islands to participate in the biggest gastronomic competition in the world and, thus, try to defeat their opponents.","[16, 12]",13.844,2023-01-19,7.5,10
Last Summer,L’été dernier,812037,fr,"Anne, a brilliant lawyer, lives in perfect harmony with her husband Pierre and their six and eight-year-old daughters, in a house on the heights of Paris. One day, Theo, 17, Pierre’s son from a previous marriage, moves in with them. Anne is troubled by Theo and gradually engages in a passionate relationship with him, putting her career and family life in danger.",[18],15.46,2023-09-13,5.8,27
Fool's Paradise,Fool's Paradise,553147,en,"A down-on-his-luck publicist discovers a recently released mental health patient who looks just like a misbehaving movie star. The publicist subs him into a film, creating a new star. But fame and fortune are not all they are cracked up to be.",[35],9.703,2023-05-12,4.5,47
Juntos pero no revueltos,Juntos pero no revueltos,809363,es,"Ana, a young Spanish woman who has just been dumped by her boyfriend, and her brother Tono, receive a call from their father to tell him that he is getting married in Mexico to a woman he met on the Internet. When they get there, they discover that the girl is 30 years younger than her father and they begin to live with her new in-laws, with the inevitable cultural clashes that this will entail.","[35, 10749]",7.744,2023-01-11,6.1,16
Testament,Testament,1058155,fr,"In an era of political correctness, identity evolution, protests, cultural scandals, activism, media storms, and other disputes, an elderly man no longer having faith in humanity, discovers new landmarks and thus his happiness.","[18, 35]",9.209,2023-10-05,6.9,10
Malcriados,Malcriados,1086990,es,,[35],9.916,2023-02-15,7.7,47
Rosa Peral's Tapes,Las cintas de Rosa Peral,1167520,es,This true-crime documentary film features Rosa Peral's first interview from prison since she was convicted of murdering her partner aided by an ex-lover.,[99],6.758,2023-09-08,5.7,27
Marvel Studios Assembled: The Making of Secret Invasion,Marvel Studios Assembled: The Making of Secret Invasion,1165500,en,"Through in-depth interviews with cast and crew, and exclusive behind-the-scenes footage, Assembled uncovers how Marvel Studios’ “Secret Invasion” was born. Witness what it took to conjure the world of the show, and spend time with Samuel L. Jackson as he dons the patch once again to engage in the most baffling battle of Nick Fury’s career.",[99],15.243,2023-09-20,4.6,21
Paint,Paint,821890,en,"Carl Nargle, Vermont’s #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke… until a younger, better artist steals everything (and everyone) Carl loves.","[35, 18, 10749]",11.126,2023-04-06,5.6,96
10 Days of a Bad Man,Kötü Adamın 10 Günü,1074262,tr,"Battered, broken and bereaved, a private investigator must muscle his way through a tangle of lies to uncover the truth behind a mansion murder.",[80],9.099,2023-08-18,6.8,85
What's Love Got to Do with It?,What's Love Got to Do with It?,800301,en,Two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in Pakistan.,"[10749, 35]",14.155,2023-01-26,6.0,145
One True Loves,One True Loves,846961,en,"Emma and Jesse are living the perfect life together, until Jesse disappears in a tragic helicopter crash on their first wedding anniversary. Four years later, Emma has found happiness again and is about to marry her best friend when Jesse resurfaces, turning her world upside down and leaving her torn between two great loves.","[10749, 18, 35]",7.333,2023-04-07,6.7,54
Piety,La Piedad,987578,es,"Mateo lives with his mother Libertad in a rose-tinted world: a microcosm that has precisely two inhabitants, mother and son. One day Mateo is diagnosed with cancer.","[14, 35, 18, 27]",7.016,2023-01-13,4.7,19
Full River Red,满江红,1066298,zh,"During China's Song Dynasty, A mysterious murder occurs at Chancellor Quin Hui's residence after meeting delegates from the neighboring Jin Dynasty. The members become embroiled not just in a murder mystery, but a larger conspiracy concerning the fate of the empire.","[9648, 35, 53, 36]",14.183,2023-01-22,5.8,106
A Tourist's Guide to Love,A Tourist's Guide to Love,813726,en,"After an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in Vietnam. Along the way, she finds adventure and romance with her Vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.","[10749, 35]",15.163,2023-04-21,6.4,144
The Girl from the Other Side,とつくにの少女,802699,ja,"Once upon a time, in a far, faraway place, there were two lands. The world was divided into an inner land and an outer land. People feared the outer land, inhabited by eerie beings, the carriers of curse. One day, on the border to the inner land inhabited by humans, one such being finds a girl on heaps of abandoned dead bodies. The girl says her name is Shiva and shows affection to the ""being"" who found her, calling him ""Teacher.""  This is a story of two people—one human, one inhuman—who linger in the hazy twilight that separates night from day.","[16, 18, 9648, 14]",10.251,2023-05-16,6.9,10
Missing: The Lucie Blackman Case,警視庁捜査一課 ルーシー・ブラックマン事件,1082168,ja,"July 1, 2000. British 21-year-old Lucie Blackman goes missing in Tokyo, sparking an international investigation — and an unyielding quest for justice.","[99, 80]",9.127,2023-07-26,7.1,38
Robot Dreams,Robot Dreams,838240,es,"Dog lives in Manhattan and he's tired of being alone. One day he decides to build himself a robot, a companion. Their friendship blossoms, until they become inseparable, to the rhythm of 80's NYC. One summer night, Dog, with great sadness, is forced to abandon Robot at the beach. Will they ever meet again?","[16, 35, 10751]",11.119,2023-10-20,7.2,10
How to Deal with a Heartbreak,Soltera codiciada 2,1124624,es,"María Fe, still single but not so sought after, faces the existential crisis and the blank page as any mature and sensible woman would: by getting involved with the wrong guy.",[35],8.435,2023-07-06,7.4,24
Infiesto,Infiesto,1072567,es,"As the coronavirus upends their lives, two detectives doggedly pursue those responsible for an abduction they realize is part of a sinister pattern.",[80],7.414,2023-02-03,6.0,160
An Unforgettable Year – Summer,Um Ano Inesquecível - Verão,962682,pt,"In order to study fashion in so-desired Paris, a young country girl who hates Carnival travels to Rio de Janeiro to try to get support from the most famous designer in Brazil. Set on sneaking into the sewing team of one of the biggest samba schools, she will discover that Carnival only lasts for a week, but a love story can change her entire life.","[18, 10749]",9.122,2023-06-01,6.5,23
Mother’s Day is Cancelled,¡Hasta la madre del Día de las Madres!,1122493,es,"Lidia and Manuel are a newlywed couple whose families have only met once. Now, they get together again to celebrate Mother’s Day. But there is a secret in the family that as soon as it explodes, will change it all. Esmeralda and Rosa must lean on each other to get through the day that seems to have something against them.",[35],10.42,2023-05-05,6.8,25
About Dry Grasses,Kuru Otlar Üstüne,665733,tr,"A young art teacher hopes to be transfered to Istanbul after completing his mandatory duty in a remote village school in Anatolia. After accusations of innapropriate contact with a student surface, his hopes of escape fade and he descends further into an existential crisis.",[18],13.432,2023-07-12,7.8,33
Gumraah,गुमराह,974025,hi,A murder investigation becomes complicated after the cops discover a pair of lookalike suspects.,"[80, 53]",6.98,2023-04-07,6.1,11
As Long As We Both Shall Live,わたしの幸せな結婚,1037348,ja,"An unhappy young woman from an abusive family is married off to a fearsome and chilly army commander. But the two learn more about each other, love may have a chance.","[18, 10749, 14]",13.798,2023-03-17,7.1,17
Marvel Studios Assembled: The Making of Loki Season 2,Marvel Studios Assembled: The Making of Loki Season 2,1192825,en,"Through candid interviews with the creative minds behind the show, and exclusive on-set footage, discover how the talented team that powered ""Loki: Season 2"" raised the stakes for this latest MCU adventure. Witness imaginative costumes, elaborate environments, and far-out variants come to life, meet new allies and foes, and time-slip across the Multiverse.",[99],9.587,2023-11-22,7.0,11
A Life Too Short: The Isabella Nardoni Case,Isabella: o Caso Nardoni,1158959,pt,"When a 5-year-old girl falls from her father's apartment, her mother embarks on a quest for justice — and is put under the national spotlight.",[99],9.147,2023-08-17,7.1,48
The Great Seduction,La gran seducción,1159086,es,"When a golden opportunity arises to boost the fortunes of a forgotten fishing town, its residents set out to trick their way to making it happen.","[18, 35]",11.458,2023-08-30,6.8,83
The (Almost) Legends,Los (casi) ídolos de Bahía Colorada,1148969,es,A colorful Mexican town. Two half brothers. Romeo and Preciado meet again to honor their dad's memory in a car rally full of adrenaline and banda music.,"[35, 10402]",8.51,2023-07-19,8.0,46
David Holmes: The Boy Who Lived,David Holmes: The Boy Who Lived,1190725,en,"As Daniel Radcliffe’s stunt double in the Harry Potter films, David Holmes’ work has been seen worldwide by millions of people. Tragically an on-set accident ended what David calls “the best job in the world,” leaving him paralyzed and confined to a wheelchair. Like the on-screen character he helped bring to life, David is determined to continue seeking adventure and living life to the fullest despite mounting obstacles.",[99],12.03,2023-11-16,7.2,21
Oh My Goodness!,Juste ciel !,885243,fr,Five nuns set their sights on winning the cash prize in a major cycling race to raise money to renovate a dilapidated hospice. The only hitch is that none of them can ride a bicycle.,[35],10.619,2023-02-15,5.1,25
De perdidos a Río,De perdidos a Río,932308,es,"Pedro, Kiko and David, three friends in their late thirties, travel to Rio de Janeiro to pick up the lifeless body of Mateo, their best friend from high school, who has died under mysterious circumstances. But when you arrive in Brazil, nothing is what it seems. Mateo, ""the dead man"", has fled, his house is upside down and one of his ex-girlfriends is desperately looking for him...",[35],8.775,2023-08-04,5.4,28
The Doorman,O Porteiro,1151590,pt,"Waldisney works as a doorman in a building where confusion is constant. However, the employee is great at maintaining a certain order. When wrongly accused of stealing something, he will need to prove that he is anything but a thief.",[35],8.935,2023-08-31,6.0,16
How to Be a Modern Man,Como Dios manda,1064103,es,"Andres Cuadrado is an old-fashioned civil servant. Conservative and somewhat macho, he takes his job at the Ministry of Finance very seriously. He considers himself above all a person ""as God commands"" and, consequently, he takes it for granted that everything responds to a natural, hierarchical and immovable order. After an unfortunate confrontation with a colleague, Andrés is disciplined and transferred to the Ministry of Equality. There everything is totally new to him: there are no assigned places, no schedules, and everyone is a vegan. Andres will have a lot of catching up to do to adapt to this new order of things.",[35],9.829,2023-06-02,5.9,40
¡Vaya vacaciones!,¡Vaya vacaciones!,926924,es,"It tells the story of Manuela and José. Even though they are delighted with taking care of their grandchildren, they are a bit fed up with no longer having time to dedicate to themselves.",[35],10.022,2023-04-21,5.7,22
Linoleum,Linoleum,765904,en,"When the host of a failing children’s science show tries to fulfill his childhood dream of becoming an astronaut by building a rocket ship in his garage, a series of bizarre events occur that cause him to question his own reality.","[878, 35, 18]",8.62,2023-03-17,6.7,43
Mission Majnu,मिशन मजनू,778946,hi,"Set in the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","[53, 28, 18, 36]",6.057,2023-01-20,6.8,26
Fatum,Fatum,1053587,es,"After receiving a tip-off, compulsive gambler Sergio returns to the betting house trying to recover all the money he has lost , but another gambler bursts into the place with a gun and a gunshot will change his life forever.","[80, 53, 18]",10.068,2023-04-12,6.6,68
What the Waters Left Behind: Scars,Los olvidados: Cicatrices,974927,es,"An Anglo-American indie rock band winds up stranded in Epecuén, where their internal conflicts and the bad luck of their tour quickly lose importance before the hell that awaits them.",[27],10.909,2023-04-27,6.5,36
Acide,Acide,852445,fr,"During a heat wave, strange clouds start pouring down acid rain, wreaking devastation and panic throughout France. In a world teetering on the edge, a girl and her divorced parents must join forces to confront and try to escape this climate catastrophe.","[18, 14]",7.576,2023-09-20,6.0,55
Palm Trees and Power Lines,Palm Trees and Power Lines,872516,en,"A disconnected teenage girl enters a relationship with a man twice her age. She sees him as the solution to all her problems, but his intentions are not what they seem.",[18],9.017,2023-03-03,6.4,32
Hurricane Season,Temporada de huracanes,1175343,es,"When a group of teens finds a corpse floating in a canal, the brutal reality behind the perverse crime unravels a town's hidden secrets.","[18, 53, 80]",10.082,2023-11-01,7.4,10
Co-Husbands,Mari(dos),1008009,es,"Emilio and Tono both receive phone calls that their wives are in comas after a ski-resort avalanche. At the hospital desk, they make a shocking discovery: their wives are, in fact, the same person … Laura. Forced to wait together until Laura regains consciousness, Emilio and Toni battle to prove who is her one and only true husband.",[35],8.199,2023-03-10,4.7,30
Craving,Craving,941256,en,"After a drug deal goes south, four heroin addicts barricade themselves in a country bar as the cops close in. Withdrawal sets in, further complicating their hostage situation, while a secret one of them is hiding could destroy them all.","[80, 27, 53]",12.596,2023-03-01,5.2,10
T.I.M.,T.I.M.,1040229,en,"Prosthetics scientist Abi and her adulterous husband Paul adjust to life outside the city as Abi begins working for high-tech company Integrate, developing a humanoid AI - T.I.M.","[878, 53]",6.904,2023-08-16,5.9,18
De Caperucita a loba,De Caperucita a loba,1051800,es,"A wolf is a little hood that has learned to laugh at herself. And that is the greatest superpower that exists because when we convert to humor there is nothing that can harm us. A story that shows us that we are all pathetic in love but that learning to laugh at it automatically turns drama into comedy. And therefore Little Red Riding Hood as a wolf. The conversion process of Marta, our protagonist, will take her several years and several ""uncles"", from when she decides to become a wolf until she achieves it, because she will have to learn that laughter is not reached by avoiding the forest of drama but by going through it until the bottom. Submitting to the ""oyster-essay"" method, he will go through a lot of pathetic situations until he learns to abandon self-deception and face reality, discovering that laughter springs from drama and laughter springs... power.",[35],6.3,2023-04-05,5.6,17
Dime lo que quieres (de verdad),Dime lo que quieres (de verdad),1157008,es,"Diego and Emilia are a conservative couple with 16 years of marriage who have lost the spark, until Tomás and Betina rescue them and introduce them to the forbidden world, changing what they know about intimacy, relationships, and sex.","[10749, 18, 35]",8.878,2023-07-27,9.0,18
"Pamela, A Love Story","Pamela, A Love Story",1061671,en,"In her own words, through personal video and diaries, Pamela Anderson shares the story of her rise to fame, rocky romances and infamous sex tape scandal.",[99],7.265,2023-01-30,7.0,196
3 days max,3 jours max,967582,fr,The Grandmother of Ryane was kidnapped by a Mexican cartel and he has three days max to free her.,[35],7.056,2023-10-25,5.3,36
Do Not Disturb,Do Not Disturb,985883,tr,"A middle-aged man emerges from a pandemic slump with a new job at a quiet hotel, until some eccentric guests turn his first night into a wild adventure.","[35, 18]",6.973,2023-09-29,6.2,44
Blue Jean,Blue Jean,971699,en,"Jean, a PE teacher, is forced to live a double life. When a new student arrives and threatens to expose her sexuality, Jean is pushed to extreme lengths to keep her job and her integrity.",[18],9.258,2023-02-10,7.0,70
Upon Entry,Upon Entry,1051547,es,"Diego, a Venezuelan urbanist, and Elena, a contemporary dancer from Barcelona, move to the United States with their approved visas to start a new life. Their intention is to boost their professional careers and start a family in 'the land of opportunities'. But upon entering New York airport's immigration area, they are taken to the secondary inspection room, where border officers will subject them to an unpleasant inspection process and a psychologically grueling interrogation.",[18],8.544,2023-06-16,6.7,25
The Braid,La Tresse,989596,en,"Three women Smita, Giulia and Sarah from different parts of the world who have never met but they are bound by something intimate and unique.","[18, 35]",5.917,2023-11-29,7.9,49
Chris Rock: Selective Outrage,Chris Rock: Selective Outrage,1065890,en,Chris Rock makes comedy history as he performs stand-up in real time for Netflix’s first global live-streaming event.,[35],6.74,2023-03-04,6.1,104
The Donor Party,The Donor Party,1081683,en,"Follows Jaclyn who really wants a baby, and realizes she doesn't need a husband to be a mother after a messy divorce and wasted years of online dating, so she and her best friends create a plan to get her pregnant at a very special party.",[35],7.14,2023-03-03,4.7,22
Jailer,ஜெயிலர்,937020,ta,"Muthuvel Pandian, a retired, stern yet compassionate jailer lives a peaceful life with his family, but trouble knocks his door when his cop son’s tryst with an antique mafia gang goes awry and forces Muthu to step back into a dark world he had voluntarily took a break from.","[28, 80, 53, 35]",8.479,2023-08-10,6.7,56
The Queenstown Kings,The Kings of Queenstown,1193708,xh,"A prodigious young soccer player from rural Queenstown must face the return of his washed-up, pro-footballer father, and navigate the choice between his team's success and his own dreams.",[18],7.038,2023-11-17,5.5,16
The Girl Who Killed Her Parents: The Confession,A Menina Que Matou os Pais: A Confissão,1135408,pt,"See what Suzane von Richthofen, Daniel Cravinhos and Cristian Cravinhos did in the days following the brutal crime that led to the Richthofen couple's death. This film reveals crucial moments of the police investigation, testimonies and the confession of the crime.","[18, 80]",8.964,2023-10-26,6.9,51
Choose Love,Choose Love,956502,en,"The steady boyfriend. The one who got away. The charming rock star. Who will Cami choose? In this interactive rom-com, her love life is in your hands.","[10749, 35]",7.814,2023-08-31,5.0,106
Life For Real,La Vie pour de vrai,967370,fr,"Tridan Lagache has spent his whole life at Club Med, changing friends every 8 days. At 50, he resigns from the vacation spot where he was born, determined to track down his great mini-club childhood love, Violette. He shows up in Paris, naïve and lost but glad to be lodged by Louis, a half-brother he never knew he had. In order to be rid of the cumbersome Tridan, Louis passes one of his fling off as Violette, and Tridan, all emotional, thinks he recognizes her at first glance.",[35],9.644,2023-04-19,5.4,57
Scarlet,L'Envol,840111,fr,A French widower and WWI veteran returns home after the war to raise his newborn daughter.,"[18, 36, 10749]",7.457,2023-01-11,7.0,50
The Blue Caftan,Le Bleu du caftan,958279,ar,"Halim has been married to Mina for a long time, with whom he runs a traditional caftan store in the medina (old town) of Salé, Morocco. The couple has always lived with Halim's secret – his homosexuality – about which he has learned to keep quiet. However, Mina's illness and the arrival of a young apprentice upsets this balance. United in their love, each will help the other face his fears.","[18, 10749]",9.95,2023-02-10,7.5,85
Veuillez nous excuser pour la gêne occasionnée,Veuillez nous excuser pour la gêne occasionnée,999134,fr,"Sébastien, a conscientious and professional train inspector, dreams of being transferred to the South of France. To validate his transfer, he has to make one last routine run under the supervision of Madeleine, a slightly sociopathic inspector who won't let him go. That's when everything goes wrong: between a driver who thinks he's driving a fighter jet, a jealous colleague and passengers who are each crazier than the last, what was supposed to be a formality turns into the worst trip of his life.",[35],5.539,2023-08-09,3.4,26
The Nightingale of Bursa,Bursa Bülbülü,1056177,tr,"Cengiz is the singer at a tea garden in Bursa and his greatest ambition is to release an album. Cengiz's life changes when he meets Taskin. Believing that the song composed by Taskin's father, Serafettin, would be a great start for his album, Cengiz buys the song using money he borrowed from his older brother. When Taskin spends all that money, Cengiz starts performing with Taskin and his sister Arzu.","[35, 10402]",5.513,2023-01-13,6.7,31
Abusamos del alcohol,Abusamos del alcohol,1156756,es,"When Lucía's cousin arrives, unexpectedly, to settle in the house of a marriage in crisis, love and fidelity will be put to the test, bringing tragic consequences.",[18],6.879,2023-01-31,7.5,15
Disco Boy,Disco Boy,922830,fr,"After a painful journey through Europe, Alex, the Belarusian, joins the Foreign Legion in France and clings to a confused hope of a European identity. Jomo, the Nigerian, fights for the survival and durability of his people in the Niger Delta and is ready to die to defend his ideas. These two young people who are sacrificed and smashed together will, against all odds, meet and their destinies will merge to continue across borders, bodies, life and death...","[18, 10752]",5.691,2023-03-09,7.0,42
In His Shadow,Le Roi des Ombres,948050,fr,"After the death of their father, two half-brothers find themselves on opposite sides of an escalating conflict with tragic consequences.",[80],10.091,2023-03-17,6.4,97
The Initiated,Los iniciados,1133923,en,"Based on the novels by Colombian writer Mario Mendoza and on the character of detective Frank Molina, the filming of Los Initiados took place in Bogotá. In the saga of Frank Molina, which uses the books Lady Massacre, La melancolia de los feos, El diario del fin del mundo and Akelarre, the story of an alcoholic private investigator who unmasks sinister plots within the underworld of Bogotá is told.","[80, 9648, 53]",8.891,2023-07-06,7.4,39
Just the Two of Us,L'Amour et les Forêts,989672,fr,"When Blanche meets Grégoire, she thinks she has found the one. The ties that bind them grow quickly, and a passionate affair ensues. Together, they relocate. For Blanche, far from her family, from her twin sister, Rose, a new life begins. But little by little, she finds herself caught in the grip of a deeply possessive and dangerous man.","[53, 18, 10749]",9.447,2023-05-24,7.0,174
She Came to Me,She Came to Me,503417,en,"Composer Steven Lauddem is plagued by a creative block which leaves him unable to finish the score for his big comeback opera. When his former therapist-turned-wife Patricia suggests he rekindle his creativity by getting lost in the city, Steven sets out in search of inspiration. His epiphany comes after he meets a spirited woman named Katrina and discovers his life has much more potential than he bargained for, or ever could have imagined.","[10749, 35, 18]",9.855,2023-10-06,5.8,26
Allelujah,Allelujah,894201,en,"When news of the closure of a small hospital's geriatric ward begins to reach the community, the hospital invites a local news crew to document their planning of a concert in honor of the hospital's most celebrated nurse. But there might be something more threatening to the hospital itself, more deadly than the politicians ready to shut down the place at a moment's notice.",[18],8.091,2023-03-17,5.4,14
Smoke Sauna Sisterhood,Savvusanna sõsarad,1058688,et,"Women share their innermost secrets and intimate experiences inside an Estonian smoke sauna. Cleansing their bodies and baring their souls, they embrace the healing power of sisterhood.",[99],6.749,2023-03-21,8.0,11
Consent,Le Consentement,956964,fr,"Vanessa Springora tells how she found herself under the influence of a famous writer. In 1986, she was 13; him, almost 50. She explains how she was the victim of a triple predation: sexual, literary and psychic. But beyond her individual story, she also questions the excesses of an era, and the complacency of an environment blinded by talent and celebrity.","[18, 36]",6.947,2023-10-11,7.1,54
I Want Your Life,Quiero Tu Vida,1118721,es,"A former pro football player must retire after a life-altering injury, and as the years passes he wishes to know how his life would've turned out had he remained a star.",[35],9.8,2023-05-03,6.8,29
Evil Does Not Exist,悪は存在しない,1156125,ja,"Takumi and his daughter Hana live in Mizubiki Village, close to Tokyo. One day, the village inhabitants become aware of a plan to build a camping site near Takumi's house offering city residents a comfortable ""escape"" to nature.",[18],5.403,2023-12-06,7.0,17
Devil's Peak,Devil's Peak,920654,en,"In North Carolina's Appalachian Mountains, eighteen-year-old Jacob McNeely is torn between appeasing his meth-dealing kingpin father and leaving the mountains forever with the girl he loves.","[9648, 53, 18, 80]",8.28,2023-02-17,5.7,29
One More Time,One More Time,1100962,sv,"On her 40th birthday, Amelia makes a fateful wish to be 18 again back in 2002 but soon regrets it when she's stuck reliving the day over and over again.","[35, 18]",9.178,2023-04-12,5.9,67
Daughter of the Bride,Daughter of the Bride,1081065,en,"Diane and Kate are not only mother and daughter but also best friends. Their lives are turned upside down, however, when Diane announces her engagement to a man named Bruce, whom she's been secretly dating.",[35],6.441,2023-02-03,6.2,18
A Thousand and One,A Thousand and One,855263,en,"Struggling but unapologetically living on her own terms, Inez is moving from shelter to shelter in mid-1990s New York City. With her 6-year-old son Terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. As the years go by, their family grows and Terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.",[18],8.336,2023-03-31,7.1,56
Unknown: Cosmic Time Machine,Unknown: Cosmic Time Machine,1128719,en,"A unique behind-the-scenes access to NASA’s ambitious mission to launch the James Webb Space Telescope, following a team of engineers and scientists as they take the next giant leap in our quest to understand the universe.",[99],8.613,2023-07-24,7.7,47
The Extortion,La extorsión,931935,es,An experienced commercial pilot is forced to collaborate with his country's intelligence services to avoid being punished for a serious fault he committed on the job. He is quickly plunged into an underworld of intrigue and extortion that will put his life at risk and he will pay a very high price to escape from it.,"[53, 80, 18]",10.905,2023-04-06,7.5,110
For My Country,Pour la France,958219,fr,"Aissa, a young officer of Algerian origin, tragically loses his life during a fresher initiation ritual at the prestigious French military academy of Saint-Cyr. As the death tears through his family, controversy arises over Aissa’s funeral plans when the Army refuses to take responsibility. Ismael, his older, rebellious brother, tries to keep the family united as they fight to win justice for Aissa.",[18],8.912,2023-02-08,6.2,34
Napoli milionaria!,Napoli milionaria!,1216937,it,,"[18, 10770]",5.325,2023-12-18,6.3,11
